SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-18-2020,Single Family Residential,3006 Dearborn Ave,Kalamazoo,MI,49048,127000,3,2.0,K12 - East to Twp Line Eastwood,1334,6447,1945,43,95,,Sold,,,http://www.redfin.com/MI/Kalamazoo/3006-Dearborn-Ave-49048/home/96129611,SW Michigan MLS,19058010,N,Y,42.2993327,-85.5423303
PAST SALE,February-5-2020,Condo/Co-op,3427 Kenbrooke Ct,Kalamazoo,MI,49006,80855,2,1.5,K06 - WMU/Kcollege/Arcadia,894,,1966,56,90,213,Sold,,,http://www.redfin.com/MI/Kalamazoo/3427-Kenbrooke-Ct-49006/home/96389996,SW Michigan MLS,19056608,N,Y,42.2782717,-85.6321057
PAST SALE,,Single Family Residential,322 Fairview Ave,Kalamazoo,MI,49001,168000,,,,,6534,,,,,,,,http://www.redfin.com/MI/Kalamazoo/322-Fairview-Ave-49001/home/96543293,,,N,Y,42.263465,-85.5868021
PAST SALE,,Condo/Co-op,10124 Castle Creek Cir,Galesburg,MI,49053,187000,,,,,,,,,,,,,http://www.redfin.com/MI/Galesburg/10124-Castle-Creek-Cir-49053/home/96494222,,,N,Y,42.2720337,-85.4226251
PAST SALE,February-21-2020,Condo/Co-op,1885 Quail Run Dr,Kalamazoo,MI,49009,229900,2,2.5,K22 - Oshtemo Twp,1913,,1998,40,120,260,Sold,,,http://www.redfin.com/MI/Kalamazoo/1885-Quail-Run-Dr-49009/home/111983072,SW Michigan MLS,19057307,N,Y,42.2710065,-85.6703983
PAST SALE,,Single Family Residential,921 Walwood Pl,Kalamazoo,MI,49007,140500,,,,,8276,,,,,,,,http://www.redfin.com/MI/Kalamazoo/921-Walwood-Pl-49007/home/96840528,,,N,Y,42.2845844,-85.5962374
PAST SALE,February-14-2020,Single Family Residential,106 Crescent Dr,Kalamazoo,MI,49001,160000,4,2.0,K02 - Westnedge Hill,1724,5184,1917,47,93,,Sold,,,http://www.redfin.com/MI/Kalamazoo/106-Crescent-Dr-49001/home/96137563,SW Michigan MLS,20002032,N,Y,42.2661399,-85.5816895
PAST SALE,November-26-2019,Condo/Co-op,5224 Green Meadow Rd,Kalamazoo,MI,49009,80000,2,1.0,K22 - Oshtemo Twp,960,,1987,127,83,145,Sold,,,http://www.redfin.com/MI/Kalamazoo/5224-Green-Meadow-Rd-49009/home/96368732,SW Michigan MLS,19054762,N,Y,42.284979,-85.6522028
PAST SALE,June-14-2019,Condo/Co-op,4102 Enclave Way,Kalamazoo,MI,49006,314288,3,2.5,K06 - WMU/Kcollege/Arcadia,2777,,2019,292,113,250,Sold,,,http://www.redfin.com/MI/Kalamazoo/4102-Enclave-Way-49009/home/160467800,SW Michigan MLS,19005402,N,Y,42.287678,-85.6394412
PAST SALE,October-24-2019,Single Family Residential,5787 Copperleaf Trl,Portage,MI,49024,269900,4,4.5,K19 - North Portage,2075,8371,2019,160,130,18,Sold,,,http://www.redfin.com/MI/Portage/5787-Copper-Leaf-Trl-49024/home/167421571,SW Michigan MLS,19032885,N,Y,42.232899,-85.633207
