SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6936 Orchard Meadow Ct,Portage,MI,49024,257500,4,2.5,K19 - North Portage,2411,10454,1998,40,107,,Active,,,http://www.redfin.com/MI/Portage/6936-Orchard-Meadow-Ct-49024/home/96126959,SW Michigan MLS,19054786,N,Y,42.2167726,-85.6026255
MLS Listing,,Condo/Co-op,3000 Essex Rd,Kalamazoo,MI,49008,219900,2,2.0,K02 - Westnedge Hill,2224,,1978,41,99,430,Active,,,http://www.redfin.com/MI/Kalamazoo/3000-Essex-Rd-49008/home/96213104,SW Michigan MLS,19054648,N,Y,42.2604525,-85.5984252
MLS Listing,,Condo/Co-op,8687 Oakland Hills Cir #3,Portage,MI,49024,324500,3,2.5,K20 - South Portage,2328,,2007,41,139,355,Active,,,http://www.redfin.com/MI/Portage/8687-Oakland-Hills-Cir-49024/unit-3/home/96261134,SW Michigan MLS,19054608,N,Y,42.190706,-85.6145954
MLS Listing,,Single Family Residential,10823 Portage Rd,Portage,MI,49002,144900,3,1.5,K20 - South Portage,1176,7841,1953,42,123,,Active,,,http://www.redfin.com/MI/Portage/10823-Portage-Rd-49002/home/96241416,SW Michigan MLS,19054503,N,Y,42.1595939,-85.5691901
MLS Listing,,Single Family Residential,4530 Long Lake Dr,Portage,MI,49002,229900,3,2.0,K20 - South Portage,1678,54014,2004,45,137,,Active,,,http://www.redfin.com/MI/Portage/4530-Long-Lake-Dr-49002/home/111975787,SW Michigan MLS,19054342,N,Y,42.1835937,-85.5353595
MLS Listing,,Single Family Residential,5422 Cypress Bay Dr,Kalamazoo,MI,49009,435000,5,3.5,K25 - Texas Township,4524,20038,2008,45,96,,Active,,,http://www.redfin.com/MI/Kalamazoo/5422-Cypress-Bay-Dr-49009/home/96327015,SW Michigan MLS,19054320,N,Y,42.2143961,-85.6559702
MLS Listing,,Single Family Residential,7838 Wildberry Ct,Portage,MI,49024,320000,5,3.5,K19 - North Portage,3135,11325,1997,45,102,,Active,,,http://www.redfin.com/MI/Portage/7838-Wildberry-Ct-49024/home/96129379,SW Michigan MLS,19054319,N,Y,42.2033167,-85.6074662
MLS Listing,,Single Family Residential,1406 Odell Farm Ln,Vicksburg,MI,49097,179900,4,2.0,K21 - Schoolcraft & Prairie Ronde Twp,2024,7840,2008,45,89,,Active,,,http://www.redfin.com/MI/Vicksburg/1406-Odell-Farm-Ln-49097/home/96120667,SW Michigan MLS,19054285,N,Y,42.1367203,-85.5576907
MLS Listing,,Single Family Residential,1720 Redstock Ave,Portage,MI,49024,207900,7,2.5,K19 - North Portage,2544,10062,1961,45,82,,Active,,,http://www.redfin.com/MI/Portage/1720-Redstock-Ave-49024/home/96192310,SW Michigan MLS,19054220,N,Y,42.209349,-85.6097358
MLS Listing,,Single Family Residential,2732 Hemlock Ave,Portage,MI,49024,219900,3,2.0,K19 - North Portage,2415,13200,1975,45,91,,Active,,,http://www.redfin.com/MI/Portage/2732-Hemlock-Ave-49024/home/96365558,SW Michigan MLS,19054182,N,Y,42.232261,-85.6223875
MLS Listing,,Single Family Residential,7689 S 10th St,Kalamazoo,MI,49009,319999,3,2.5,K25 - Texas Township,2938,66211,1987,46,109,,Active,,,http://www.redfin.com/MI/Kalamazoo/7689-S-10th-St-49009/home/111991462,SW Michigan MLS,19054114,N,Y,42.2056435,-85.666725
MLS Listing,,Single Family Residential,270 Montague Dr,Portage,MI,49024,277900,4,2.5,K20 - South Portage,3004,20473,1981,46,93,,Active,,,http://www.redfin.com/MI/Portage/270-Montague-Dr-49024/home/96678753,SW Michigan MLS,19054032,N,Y,42.1752332,-85.5913353
MLS Listing,,Single Family Residential,3683 Bellflower Dr,Portage,MI,49024,429900,5,3.0,K19 - North Portage,3836,27443,1993,47,112,,Active,,,http://www.redfin.com/MI/Portage/3683-Bellflower-Dr-49024/home/96230726,SW Michigan MLS,19053959,N,Y,42.2162788,-85.6340726
MLS Listing,,Multi-Family (2-4 Unit),370 Admiral Ave,Portage,MI,49002,310800,2,1.0,K19 - North Portage,,21000,1977,47,,,Active,,,http://www.redfin.com/MI/Portage/370-Admiral-Ave-49002/home/96844706,SW Michigan MLS,19053939,N,Y,42.2165288,-85.5861363
MLS Listing,,Single Family Residential,514 W Melody Ave,Portage,MI,49024,169900,3,1.5,K20 - South Portage,1761,11631,1967,47,96,,Active,,,http://www.redfin.com/MI/Portage/514-W-Melody-Ave-49024/home/111957332,SW Michigan MLS,19053856,N,Y,42.1934998,-85.5948311
MLS Listing,,Single Family Residential,5405 Birchwood Dr,Kalamazoo,MI,49009,349900,3,3.0,K25 - Texas Township,3350,44257,1993,48,104,5,Active,,,http://www.redfin.com/MI/Kalamazoo/5405-Birchwood-Dr-49009/home/111951129,SW Michigan MLS,19053733,N,Y,42.2286171,-85.6561106
MLS Listing,,Single Family Residential,3004 Fleetwood Dr,Portage,MI,49024,229900,4,2.0,K19 - North Portage,1812,21344,1956,49,127,,Active,,,http://www.redfin.com/MI/Portage/3004-Fleetwood-Dr-49024/home/96416712,SW Michigan MLS,19053474,N,Y,42.242137,-85.6251986
MLS Listing,,Single Family Residential,7276 Annandale Dr,Kalamazoo,MI,49009,349900,5,3.5,K25 - Texas Township,3000,14375,2016,51,117,21,Active,,,http://www.redfin.com/MI/Kalamazoo/7276-Annandale-Dr-49009/home/112029312,SW Michigan MLS,19053400,N,Y,42.211533,-85.658725
